Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
DA8,Room,0,.,.,.,.
DA8,Studio,-,..,..,..,..
DA8,One Bedroom,30,904,860,898,938
DA8,Two Bedrooms,50,1208,1100,1225,1300
DA8,Three Bedrooms,30,1420,1250,1363,1650
DA8,Four or More Bedrooms,10,1774,1595,1900,2000
E1,Room,10,602,492,612,692
E1,Studio,10,1541,1250,1450,2000
E1,One Bedroom,130,1533,1300,1450,1650
E1,Two Bedrooms,140,1860,1600,1750,2000
E1,Three Bedrooms,50,2183,1835,2000,2300
E1,Four or More Bedrooms,10,3021,2600,3075,3484
E10,Room,0,.,.,.,.
E10,Studio,10,653,550,625,675
E10,One Bedroom,60,1127,1045,1100,1225
E10,Two Bedrooms,50,1368,1243,1350,1450
E10,Three Bedrooms,30,1648,1500,1630,1788
E10,Four or More Bedrooms,10,2055,1950,2000,2195
E11,Room,30,838,642,692,886
E11,Studio,20,802,750,775,850
E11,One Bedroom,130,1106,1025,1100,1200
E11,Two Bedrooms,190,1347,1250,1350,1450
E11,Three Bedrooms,70,1725,1500,1700,1950
E11,Four or More Bedrooms,30,2274,1912,2250,2400
E12,Room,0,.,.,.,.
E12,Studio,-,..,..,..,..
E12,One Bedroom,30,1044,950,1050,1138
E12,Two Bedrooms,30,1308,1250,1300,1400
E12,Three Bedrooms,50,1622,1500,1600,1750
E12,Four or More Bedrooms,20,1834,1768,1875,2125
E13,Room,0,.,.,.,.
E13,Studio,10,901,800,875,1000
E13,One Bedroom,60,1084,1000,1050,1150
E13,Two Bedrooms,70,1321,1250,1325,1400
E13,Three Bedrooms,40,1575,1500,1600,1700
E13,Four or More Bedrooms,10,2065,1850,2050,2250
E14,Room,10,637,542,592,642
E14,Studio,50,1340,1180,1300,1430
E14,One Bedroom,250,1486,1300,1450,1650
E14,Two Bedrooms,230,1746,1516,1700,1900
E14,Three Bedrooms,70,2178,1800,2037,2625
E14,Four or More Bedrooms,-,..,..,..,..
E15,Room,10,1344,667,1517,1972
E15,Studio,10,965,863,950,990
E15,One Bedroom,400,1376,1278,1386,1490
E15,Two Bedrooms,380,1676,1500,1650,1838
E15,Three Bedrooms,130,2089,1750,2163,2395
E15,Four or More Bedrooms,20,2052,1850,2000,2200
E16,Room,0,.,.,.,.
E16,Studio,50,1270,1215,1292,1343
E16,One Bedroom,450,1337,1225,1325,1425
E16,Two Bedrooms,480,1646,1510,1644,1763
E16,Three Bedrooms,110,1913,1725,1900,2082
E16,Four or More Bedrooms,10,2638,1900,2775,3300
E17,Room,10,1817,1365,1668,2427
E17,Studio,10,941,900,963,999
E17,One Bedroom,230,1174,1075,1150,1280
E17,Two Bedrooms,340,1395,1260,1400,1510
E17,Three Bedrooms,140,1707,1550,1730,1850
E17,Four or More Bedrooms,50,1970,1650,2000,2295
E18,Room,0,.,.,.,.
E18,Studio,10,774,725,815,895
E18,One Bedroom,90,1123,1050,1100,1200
E18,Two Bedrooms,150,1384,1275,1350,1460
E18,Three Bedrooms,40,1679,1500,1650,1800
E18,Four or More Bedrooms,10,2252,2000,2100,2400
E1W,Room,0,.,.,.,.
E1W,Studio,10,1237,1067,1157,1354
E1W,One Bedroom,70,1541,1350,1517,1733
E1W,Two Bedrooms,70,1899,1560,1755,2167
E1W,Three Bedrooms,20,2369,2200,2392,2600
E1W,Four or More Bedrooms,-,..,..,..,..
E2,Room,-,..,..,..,..
E2,Studio,-,..,..,..,..
E2,One Bedroom,70,1377,1200,1325,1500
E2,Two Bedrooms,70,1925,1675,1800,2058
E2,Three Bedrooms,30,2163,1750,2205,2383
E2,Four or More Bedrooms,10,2945,2800,3200,3250
E20,Room,0,.,.,.,.
E20,Studio,0,.,.,.,.
E20,One Bedroom,10,1638,1575,1625,1700
E20,Two Bedrooms,20,2013,1900,2000,2125
E20,Three Bedrooms,-,..,..,..,..
E20,Four or More Bedrooms,0,.,.,.,.
E3,Room,0,.,.,.,.
E3,Studio,20,1105,965,1150,1200
E3,One Bedroom,110,1270,1175,1255,1365
E3,Two Bedrooms,150,1574,1427,1550,1650
E3,Three Bedrooms,50,2157,1900,2050,2300
E3,Four or More Bedrooms,20,2818,2375,2850,3280
E4,Room,-,..,..,..,..
E4,Studio,-,..,..,..,..
E4,One Bedroom,80,999,920,1000,1110
E4,Two Bedrooms,100,1247,1150,1240,1348
E4,Three Bedrooms,60,1582,1450,1550,1700
E4,Four or More Bedrooms,10,1973,1775,2000,2200
E5,Room,0,.,.,.,.
E5,Studio,10,901,730,903,975
E5,One Bedroom,50,1314,1175,1300,1450
E5,Two Bedrooms,50,1679,1500,1650,1800
E5,Three Bedrooms,30,2313,1900,2230,2650
E5,Four or More Bedrooms,10,2734,2355,2800,3000
E6,Room,-,..,..,..,..
E6,Studio,-,..,..,..,..
E6,One Bedroom,40,1038,1000,1000,1110
E6,Two Bedrooms,60,1253,1200,1288,1350
E6,Three Bedrooms,60,1581,1500,1600,1700
E6,Four or More Bedrooms,10,1970,1750,1925,2100
E7,Room,30,736,537,663,742
E7,Studio,10,941,875,953,1047
E7,One Bedroom,40,1054,1000,1100,1150
E7,Two Bedrooms,50,1348,1250,1350,1450
E7,Three Bedrooms,30,1594,1450,1517,1700
E7,Four or More Bedrooms,20,2132,1900,2050,2200
E77,Room,0,.,.,.,.
E77,Studio,0,.,.,.,.
E77,One Bedroom,0,.,.,.,.
E77,Two Bedrooms,0,.,.,.,.
E77,Three Bedrooms,0,.,.,.,.
E77,Four or More Bedrooms,0,.,.,.,.
E8,Room,-,..,..,..,..
E8,Studio,20,1022,960,999,1115
E8,One Bedroom,70,1536,1330,1475,1650
E8,Two Bedrooms,170,1593,1365,1500,1733
E8,Three Bedrooms,40,2279,1800,2230,2550
E8,Four or More Bedrooms,10,3361,3000,3147,3559
E9,Room,-,..,..,..,..
E9,Studio,-,..,..,..,..
E9,One Bedroom,40,1385,1250,1300,1500
E9,Two Bedrooms,50,1733,1450,1650,1803
E9,Three Bedrooms,30,2170,1718,2150,2575
E9,Four or More Bedrooms,10,3244,3100,3402,3466
E98,Room,0,.,.,.,.
E98,Studio,0,.,.,.,.
E98,One Bedroom,0,.,.,.,.
E98,Two Bedrooms,0,.,.,.,.
E98,Three Bedrooms,0,.,.,.,.
E98,Four or More Bedrooms,0,.,.,.,.
EC1A,Room,0,.,.,.,.
EC1A,Studio,10,1435,1350,1365,1582
EC1A,One Bedroom,20,1759,1550,1712,1915
EC1A,Two Bedrooms,10,2318,2167,2492,2600
EC1A,Three Bedrooms,0,.,.,.,.
EC1A,Four or More Bedrooms,0,.,.,.,.
EC1M,Room,0,.,.,.,.
EC1M,Studio,10,1452,1170,1250,1400
EC1M,One Bedroom,10,2113,2025,2075,2243
EC1M,Two Bedrooms,0,.,.,.,.
EC1M,Three Bedrooms,0,.,.,.,.
EC1M,Four or More Bedrooms,0,.,.,.,.
EC1N,Room,0,.,.,.,.
EC1N,Studio,-,..,..,..,..
EC1N,One Bedroom,10,1566,1450,1593,1668
EC1N,Two Bedrooms,10,2139,1800,2027,2363
EC1N,Three Bedrooms,-,..,..,..,..
EC1N,Four or More Bedrooms,-,..,..,..,..
EC1P,Room,0,.,.,.,.
EC1P,Studio,0,.,.,.,.
EC1P,One Bedroom,0,.,.,.,.
EC1P,Two Bedrooms,0,.,.,.,.
EC1P,Three Bedrooms,0,.,.,.,.
EC1P,Four or More Bedrooms,0,.,.,.,.
EC1R,Room,0,.,.,.,.
EC1R,Studio,-,..,..,..,..
EC1R,One Bedroom,10,1671,1550,1690,1850
EC1R,Two Bedrooms,10,2110,1825,1970,2475
EC1R,Three Bedrooms,-,..,..,..,..
EC1R,Four or More Bedrooms,0,.,.,.,.
EC1V,Room,0,.,.,.,.
EC1V,Studio,0,.,.,.,.
EC1V,One Bedroom,30,1786,1440,1721,2010
EC1V,Two Bedrooms,30,2318,1904,2307,2600
EC1V,Three Bedrooms,10,3165,2850,2916,3770
EC1V,Four or More Bedrooms,10,3988,3100,4615,4673
EC1Y,Room,0,.,.,.,.
EC1Y,Studio,10,1582,1300,1625,1842
EC1Y,One Bedroom,10,1820,1544,1733,2144
EC1Y,Two Bedrooms,20,2657,2300,2692,3000
EC1Y,Three Bedrooms,10,3056,2500,2917,3500
EC1Y,Four or More Bedrooms,0,.,.,.,.
EC2A,Room,0,.,.,.,.
EC2A,Studio,10,1154,1050,1125,1200
EC2A,One Bedroom,10,1803,1473,1778,2000
EC2A,Two Bedrooms,20,2574,1950,2500,3033
EC2A,Three Bedrooms,-,..,..,..,..
EC2A,Four or More Bedrooms,-,..,..,..,..
EC2M,Room,0,.,.,.,.
EC2M,Studio,0,.,.,.,.
EC2M,One Bedroom,0,.,.,.,.
EC2M,Two Bedrooms,0,.,.,.,.
EC2M,Three Bedrooms,0,.,.,.,.
EC2M,Four or More Bedrooms,0,.,.,.,.
EC2N,Room,0,.,.,.,.
EC2N,Studio,0,.,.,.,.
EC2N,One Bedroom,0,.,.,.,.
EC2N,Two Bedrooms,0,.,.,.,.
EC2N,Three Bedrooms,0,.,.,.,.
EC2N,Four or More Bedrooms,0,.,.,.,.
EC2P,Room,0,.,.,.,.
EC2P,Studio,0,.,.,.,.
EC2P,One Bedroom,0,.,.,.,.
EC2P,Two Bedrooms,0,.,.,.,.
EC2P,Three Bedrooms,0,.,.,.,.
EC2P,Four or More Bedrooms,0,.,.,.,.
EC2R,Room,0,.,.,.,.
EC2R,Studio,0,.,.,.,.
EC2R,One Bedroom,0,.,.,.,.
EC2R,Two Bedrooms,0,.,.,.,.
EC2R,Three Bedrooms,0,.,.,.,.
EC2R,Four or More Bedrooms,0,.,.,.,.
EC2V,Room,0,.,.,.,.
EC2V,Studio,0,.,.,.,.
EC2V,One Bedroom,0,.,.,.,.
EC2V,Two Bedrooms,0,.,.,.,.
EC2V,Three Bedrooms,0,.,.,.,.
EC2V,Four or More Bedrooms,0,.,.,.,.
EC2Y,Room,0,.,.,.,.
EC2Y,Studio,10,1888,1473,1820,2075
EC2Y,One Bedroom,10,2053,1647,1874,2438
EC2Y,Two Bedrooms,10,2511,2427,2557,2687
EC2Y,Three Bedrooms,-,..,..,..,..
EC2Y,Four or More Bedrooms,-,..,..,..,..
EC3A,Room,0,.,.,.,.
EC3A,Studio,0,.,.,.,.
EC3A,One Bedroom,0,.,.,.,.
EC3A,Two Bedrooms,0,.,.,.,.
EC3A,Three Bedrooms,0,.,.,.,.
EC3A,Four or More Bedrooms,0,.,.,.,.
EC3B,Room,0,.,.,.,.
EC3B,Studio,0,.,.,.,.
EC3B,One Bedroom,0,.,.,.,.
EC3B,Two Bedrooms,0,.,.,.,.
EC3B,Three Bedrooms,0,.,.,.,.
EC3B,Four or More Bedrooms,0,.,.,.,.
EC3M,Room,0,.,.,.,.
EC3M,Studio,0,.,.,.,.
EC3M,One Bedroom,0,.,.,.,.
EC3M,Two Bedrooms,0,.,.,.,.
EC3M,Three Bedrooms,0,.,.,.,.
EC3M,Four or More Bedrooms,0,.,.,.,.
EC3N,Room,0,.,.,.,.
EC3N,Studio,-,..,..,..,..
EC3N,One Bedroom,-,..,..,..,..
EC3N,Two Bedrooms,-,..,..,..,..
EC3N,Three Bedrooms,0,.,.,.,.
EC3N,Four or More Bedrooms,0,.,.,.,.
EC3P,Room,0,.,.,.,.
EC3P,Studio,0,.,.,.,.
EC3P,One Bedroom,0,.,.,.,.
EC3P,Two Bedrooms,0,.,.,.,.
EC3P,Three Bedrooms,0,.,.,.,.
EC3P,Four or More Bedrooms,0,.,.,.,.
EC3R,Room,0,.,.,.,.
EC3R,Studio,-,..,..,..,..
EC3R,One Bedroom,10,1914,1790,1818,2025
EC3R,Two Bedrooms,-,..,..,..,..
EC3R,Three Bedrooms,0,.,.,.,.
EC3R,Four or More Bedrooms,0,.,.,.,.
EC3V,Room,0,.,.,.,.
EC3V,Studio,0,.,.,.,.
EC3V,One Bedroom,0,.,.,.,.
EC3V,Two Bedrooms,0,.,.,.,.
EC3V,Three Bedrooms,0,.,.,.,.
EC3V,Four or More Bedrooms,0,.,.,.,.
EC4A,Room,0,.,.,.,.
EC4A,Studio,10,1215,950,1250,1300
EC4A,One Bedroom,20,1641,1478,1668,1776
EC4A,Two Bedrooms,10,2073,1600,2250,2297
EC4A,Three Bedrooms,-,..,..,..,..
EC4A,Four or More Bedrooms,0,.,.,.,.
EC4M,Room,0,.,.,.,.
EC4M,Studio,-,..,..,..,..
