Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
HA5,Three Bedrooms,30,1720,1500,1769,1900
HA5,Four or More Bedrooms,10,2031,1775,2125,2450
HA6,Room,0,.,.,.,.
HA6,Studio,-,..,..,..,..
HA6,One Bedroom,40,894,850,875,950
HA6,Two Bedrooms,60,1144,878,1200,1250
HA6,Three Bedrooms,10,1718,1550,1700,1980
HA6,Four or More Bedrooms,10,2608,2000,2350,2750
HA7,Room,0,.,.,.,.
HA7,Studio,-,..,..,..,..
HA7,One Bedroom,60,1165,1050,1100,1250
HA7,Two Bedrooms,130,1379,1295,1375,1500
HA7,Three Bedrooms,100,1720,1600,1700,1800
HA7,Four or More Bedrooms,30,2291,1875,2075,2500
HA8,Room,10,439,407,492,562
HA8,Studio,10,808,700,800,900
HA8,One Bedroom,40,1079,998,1100,1150
HA8,Two Bedrooms,130,1395,1300,1350,1450
HA8,Three Bedrooms,110,1752,1600,1700,1850
HA8,Four or More Bedrooms,30,2098,1850,2000,2275
HA9,Room,10,658,550,700,725
HA9,Studio,10,1025,838,925,1288
HA9,One Bedroom,90,1196,1100,1163,1250
HA9,Two Bedrooms,140,1462,1350,1400,1550
HA9,Three Bedrooms,70,1739,1650,1750,1850
HA9,Four or More Bedrooms,40,2122,1875,2100,2300
IG1,Room,10,1172,592,1213,1365
IG1,Studio,10,792,750,800,850
IG1,One Bedroom,60,1016,938,1013,1100
IG1,Two Bedrooms,80,1251,1200,1250,1300
IG1,Three Bedrooms,30,1561,1460,1600,1700
IG1,Four or More Bedrooms,10,1993,1600,1900,2600
IG11,Room,10,770,323,698,1062
IG11,Studio,10,741,730,730,750
IG11,One Bedroom,190,1083,1000,1058,1195
IG11,Two Bedrooms,290,1358,1250,1375,1500
IG11,Three Bedrooms,100,1602,1485,1600,1700
IG11,Four or More Bedrooms,20,1801,1650,1805,1900
IG2,Room,-,..,..,..,..
IG2,Studio,-,..,..,..,..
IG2,One Bedroom,50,1042,950,1050,1100
IG2,Two Bedrooms,60,1245,1150,1250,1338
IG2,Three Bedrooms,40,1653,1595,1650,1745
IG2,Four or More Bedrooms,10,2069,1900,2000,2275
IG3,Room,10,782,637,637,983
IG3,Studio,10,698,678,776,826
IG3,One Bedroom,40,975,900,1000,1035
IG3,Two Bedrooms,20,1183,1200,1200,1298
IG3,Three Bedrooms,20,1534,1425,1550,1650
IG3,Four or More Bedrooms,10,1898,1675,1900,2000
IG4,Room,10,667,667,692,692
IG4,Studio,-,..,..,..,..
IG4,One Bedroom,-,..,..,..,..
IG4,Two Bedrooms,-,..,..,..,..
IG4,Three Bedrooms,-,..,..,..,..
IG4,Four or More Bedrooms,-,..,..,..,..
IG5,Room,10,577,592,592,592
IG5,Studio,10,940,900,950,1035
IG5,One Bedroom,10,1053,950,1075,1100
IG5,Two Bedrooms,10,1233,1125,1250,1325
IG5,Three Bedrooms,10,1588,1525,1650,1700
IG5,Four or More Bedrooms,10,1924,1785,1875,2000
IG6,Room,10,665,633,633,717
IG6,Studio,0,.,.,.,.
IG6,One Bedroom,40,1042,950,1050,1150
IG6,Two Bedrooms,50,1278,1150,1250,1350
IG6,Three Bedrooms,50,1584,1500,1650,1700
IG6,Four or More Bedrooms,10,1969,1800,1900,2100
IG7,Room,-,..,..,..,..
IG7,Studio,0,.,.,.,.
IG7,One Bedroom,10,1005,950,998,1050
IG7,Two Bedrooms,10,1296,1175,1323,1388
IG7,Three Bedrooms,10,1524,1440,1550,1650
IG7,Four or More Bedrooms,-,..,..,..,..
IG8,Room,-,..,..,..,..
IG8,Studio,-,..,..,..,..
IG8,One Bedroom,20,1057,975,1100,1175
IG8,Two Bedrooms,100,1373,1250,1350,1400
IG8,Three Bedrooms,50,1633,1500,1613,1700
IG8,Four or More Bedrooms,30,2141,1850,2050,2488
IG9,Room,0,.,.,.,.
IG9,Studio,0,.,.,.,.
IG9,One Bedroom,-,..,..,..,..
IG9,Two Bedrooms,-,..,..,..,..
IG9,Three Bedrooms,-,..,..,..,..
IG9,Four or More Bedrooms,0,.,.,.,.
KT1,Room,0,.,.,.,.
KT1,Studio,10,899,875,900,920
KT1,One Bedroom,60,1122,1025,1100,1195
KT1,Two Bedrooms,60,1478,1350,1450,1600
KT1,Three Bedrooms,20,2065,1650,1950,2500
KT1,Four or More Bedrooms,20,2477,2000,2350,2650
KT17,Room,0,.,.,.,.
KT17,Studio,0,.,.,.,.
KT17,One Bedroom,0,.,.,.,.
KT17,Two Bedrooms,0,.,.,.,.
KT17,Three Bedrooms,0,.,.,.,.
KT17,Four or More Bedrooms,0,.,.,.,.
KT18,Room,0,.,.,.,.
KT18,Studio,0,.,.,.,.
KT18,One Bedroom,0,.,.,.,.
KT18,Two Bedrooms,0,.,.,.,.
KT18,Three Bedrooms,0,.,.,.,.
KT18,Four or More Bedrooms,0,.,.,.,.
KT19,Room,0,.,.,.,.
KT19,Studio,0,.,.,.,.
KT19,One Bedroom,0,.,.,.,.
KT19,Two Bedrooms,0,.,.,.,.
KT19,Three Bedrooms,0,.,.,.,.
KT19,Four or More Bedrooms,0,.,.,.,.
KT2,Room,0,.,.,.,.
KT2,Studio,-,..,..,..,..
KT2,One Bedroom,50,1199,1100,1188,1300
KT2,Two Bedrooms,110,1487,1300,1413,1600
KT2,Three Bedrooms,30,2011,1750,1900,2350
KT2,Four or More Bedrooms,20,3742,2800,3313,3825
KT22,Room,0,.,.,.,.
KT22,Studio,0,.,.,.,.
KT22,One Bedroom,0,.,.,.,.
KT22,Two Bedrooms,0,.,.,.,.
KT22,Three Bedrooms,0,.,.,.,.
KT22,Four or More Bedrooms,0,.,.,.,.
KT3,Room,0,.,.,.,.
KT3,Studio,-,..,..,..,..
KT3,One Bedroom,20,1088,1000,1065,1200
KT3,Two Bedrooms,50,1278,1200,1254,1400
KT3,Three Bedrooms,40,1786,1500,1725,2000
KT3,Four or More Bedrooms,20,2395,2100,2475,2600
KT4,Room,0,.,.,.,.
KT4,Studio,-,..,..,..,..
KT4,One Bedroom,20,1010,950,1000,1100
KT4,Two Bedrooms,30,1358,1225,1350,1500
KT4,Three Bedrooms,10,1908,1650,1750,2250
KT4,Four or More Bedrooms,10,2506,2300,2450,2750
KT5,Room,-,..,..,..,..
KT5,Studio,10,888,850,850,925
KT5,One Bedroom,40,1024,938,1038,1100
KT5,Two Bedrooms,20,1348,1200,1300,1400
KT5,Three Bedrooms,20,1911,1800,1850,2000
KT5,Four or More Bedrooms,10,2516,2075,2513,2725
KT6,Room,0,.,.,.,.
KT6,Studio,10,844,800,875,895
KT6,One Bedroom,60,1102,1050,1100,1175
KT6,Two Bedrooms,100,1374,1200,1350,1485
KT6,Three Bedrooms,30,1665,1350,1615,1800
KT6,Four or More Bedrooms,10,2769,2500,2675,3000
KT7,Room,0,.,.,.,.
KT7,Studio,0,.,.,.,.
KT7,One Bedroom,0,.,.,.,.
KT7,Two Bedrooms,0,.,.,.,.
KT7,Three Bedrooms,0,.,.,.,.
KT7,Four or More Bedrooms,0,.,.,.,.
KT8,Room,0,.,.,.,.
KT8,Studio,-,..,..,..,..
KT8,One Bedroom,0,.,.,.,.
KT8,Two Bedrooms,-,..,..,..,..
KT8,Three Bedrooms,0,.,.,.,.
KT8,Four or More Bedrooms,0,.,.,.,.
KT9,Room,0,.,.,.,.
KT9,Studio,0,.,.,.,.
KT9,One Bedroom,10,923,813,903,1050
KT9,Two Bedrooms,20,1264,1200,1300,1400
KT9,Three Bedrooms,10,1649,1400,1625,1750
KT9,Four or More Bedrooms,-,..,..,..,..
N1,Room,10,700,675,700,700
N1,Studio,30,1291,1148,1254,1378
N1,One Bedroom,280,1662,1400,1609,1800
N1,Two Bedrooms,290,2123,1795,2100,2383
N1,Three Bedrooms,90,2925,2463,2775,3275
N1,Four or More Bedrooms,40,3619,2988,3440,4149
N10,Room,10,668,632,692,702
N10,Studio,20,861,802,875,945
N10,One Bedroom,60,1285,1200,1275,1368
N10,Two Bedrooms,140,1544,1375,1450,1700
N10,Three Bedrooms,40,1899,1473,1825,2200
N10,Four or More Bedrooms,60,2221,1603,1750,2492
N11,Room,-,..,..,..,..
N11,Studio,10,697,550,658,825
N11,One Bedroom,90,1128,1040,1126,1250
N11,Two Bedrooms,140,1397,1275,1363,1500
N11,Three Bedrooms,50,1821,1560,1800,1950
N11,Four or More Bedrooms,30,2213,1975,2200,2300
N12,Room,0,.,.,.,.
N12,Studio,10,941,850,950,953
N12,One Bedroom,110,1161,1100,1165,1250
N12,Two Bedrooms,240,1392,1300,1375,1500
N12,Three Bedrooms,60,1914,1750,1925,2000
N12,Four or More Bedrooms,20,2132,2025,2250,2485
N13,Room,-,..,..,..,..
N13,Studio,10,878,800,900,950
N13,One Bedroom,30,1080,975,1038,1150
N13,Two Bedrooms,50,1302,1200,1300,1400
N13,Three Bedrooms,20,1728,1500,1700,1800
N13,Four or More Bedrooms,10,2007,1800,1950,2100
N14,Room,0,.,.,.,.
N14,Studio,-,..,..,..,..
N14,One Bedroom,20,1135,1100,1143,1200
N14,Two Bedrooms,50,1379,1300,1365,1450
N14,Three Bedrooms,30,1905,1650,1900,2150
N14,Four or More Bedrooms,10,2314,1950,2225,2775
N15,Room,20,669,573,632,692
N15,Studio,20,862,800,900,950
N15,One Bedroom,60,1117,1000,1100,1200
N15,Two Bedrooms,40,1337,1200,1400,1500
N15,Three Bedrooms,30,1801,1500,1675,1925
N15,Four or More Bedrooms,20,2210,2000,2200,2400
N16,Room,-,..,..,..,..
N16,Studio,10,1010,850,1000,1150
N16,One Bedroom,160,1336,1200,1320,1473
N16,Two Bedrooms,120,1664,1500,1625,1800
N16,Three Bedrooms,60,2238,1950,2215,2500
N16,Four or More Bedrooms,30,3027,2600,3025,3350
N17,Room,30,589,507,592,677
N17,Studio,20,904,800,850,1013
N17,One Bedroom,50,1141,1000,1090,1275
N17,Two Bedrooms,50,1361,1250,1300,1495
N17,Three Bedrooms,30,1684,1550,1675,1850
N17,Four or More Bedrooms,20,1884,1750,1810,2000
N18,Room,-,..,..,..,..
N18,Studio,-,..,..,..,..
N18,One Bedroom,10,996,925,973,1075
N18,Two Bedrooms,20,1304,1250,1325,1360
N18,Three Bedrooms,30,1511,1341,1550,1650
N18,Four or More Bedrooms,-,..,..,..,..
N19,Room,30,677,569,685,749
N19,Studio,30,1022,900,981,1100
N19,One Bedroom,110,1300,1190,1300,1400
N19,Two Bedrooms,80,1563,1400,1517,1690
N19,Three Bedrooms,50,2155,1800,2100,2250
N19,Four or More Bedrooms,30,2756,2440,2790,3100
N1C,Room,0,.,.,.,.
N1C,Studio,0,.,.,.,.
N1C,One Bedroom,-,..,..,..,..
N1C,Two Bedrooms,10,2959,2600,2925,3250
N1C,Three Bedrooms,20,3673,3575,3683,3683
N1C,Four or More Bedrooms,0,.,.,.,.
N1P,Room,0,.,.,.,.
N1P,Studio,0,.,.,.,.
N1P,One Bedroom,0,.,.,.,.
N1P,Two Bedrooms,0,.,.,.,.
N1P,Three Bedrooms,0,.,.,.,.
N1P,Four or More Bedrooms,0,.,.,.,.
N2,Room,0,.,.,.,.
N2,Studio,20,1029,925,1000,1100
N2,One Bedroom,100,1190,1100,1200,1300
N2,Two Bedrooms,200,1501,1375,1475,1600
N2,Three Bedrooms,80,1895,1575,1758,2000
N2,Four or More Bedrooms,60,2808,2300,2900,3250
N20,Room,0,.,.,.,.
N20,Studio,10,885,775,825,950
N20,One Bedroom,30,1186,1050,1175,1335
N20,Two Bedrooms,70,1432,1250,1400,1540
N20,Three Bedrooms,30,1803,1600,1763,1960
N20,Four or More Bedrooms,20,2534,2100,2450,2990
N21,Room,0,.,.,.,.
N21,Studio,0,.,.,.,.
N21,One Bedroom,10,1102,1000,1100,1200
N21,Two Bedrooms,40,1368,1250,1350,1475
N21,Three Bedrooms,10,1744,1650,1800,1900
N21,Four or More Bedrooms,10,2574,2400,2650,2750
N22,Room,10,597,563,600,642
N22,Studio,10,787,700,762,800
N22,One Bedroom,40,1152,975,1163,1300
N22,Two Bedrooms,60,1483,1350,1450,1600
N22,Three Bedrooms,30,1852,1600,1800,1950
N22,Four or More Bedrooms,20,2256,1825,2100,2800
N3,Room,-,..,..,..,..
N3,Studio,10,827,700,950,1047
N3,One Bedroom,110,1204,1092,1200,1313
N3,Two Bedrooms,220,1429,1300,1400,1550
N3,Three Bedrooms,80,1938,1750,1900,2103
N3,Four or More Bedrooms,30,2524,2200,2500,2800
N4,Room,50,653,557,671,739
N4,Studio,70,891,775,850,950
N4,One Bedroom,160,1290,1100,1250,1400
N4,Two Bedrooms,150,1634,1400,1605,1750
N4,Three Bedrooms,60,2141,1798,2000,2500
N4,Four or More Bedrooms,50,2716,2250,2698,3100
N5,Room,-,..,..,..,..
N5,Studio,10,1103,900,1100,1200
N5,One Bedroom,100,1527,1323,1500,1679
N5,Two Bedrooms,100,2108,1750,2000,2303
N5,Three Bedrooms,20,2532,2383,2525,2817
N5,Four or More Bedrooms,10,3573,3033,3770,3868
N6,Room,-,..,..,..,..
N6,Studio,20,940,791,880,1135
N6,One Bedroom,70,1458,1350,1447,1513
N6,Two Bedrooms,120,1910,1625,1842,2100
N6,Three Bedrooms,40,2397,1907,2145,2656
N6,Four or More Bedrooms,20,4152,2950,3683,4500
N7,Room,10,575,442,618,665
N7,Studio,10,1011,900,975,1130
N7,One Bedroom,220,1424,1275,1400,1550
N7,Two Bedrooms,150,1772,1450,1690,1905
N7,Three Bedrooms,100,2182,1800,2000,2470
N7,Four or More Bedrooms,30,3071,2300,2995,3900
N8,Room,30,667,592,664,765
N8,Studio,50,917,754,925,999
N8,One Bedroom,190,1280,1200,1300,1350
N8,Two Bedrooms,190,1544,1375,1520,1650
N8,Three Bedrooms,40,1906,1603,1850,2200
N8,Four or More Bedrooms,40,2646,2040,2495,2900
N81,Room,0,.,.,.,.
N81,Studio,0,.,.,.,.
N81,One Bedroom,0,.,.,.,.
N81,Two Bedrooms,0,.,.,.,.
N81,Three Bedrooms,0,.,.,.,.
N81,Four or More Bedrooms,0,.,.,.,.
N9,Room,-,..,..,..,..
N9,Studio,10,769,700,775,850
N9,One Bedroom,20,1004,950,1000,1071
N9,Two Bedrooms,20,1346,1298,1325,1413
N9,Three Bedrooms,20,1600,1575,1600,1650
N9,Four or More Bedrooms,10,1905,1825,1850,2000
NW1,Room,0,.,.,.,.
NW1,Studio,20,1210,1083,1281,1281
NW1,One Bedroom,110,1799,1517,1780,2000
NW1,Two Bedrooms,100,2435,1841,2210,3000
NW1,Three Bedrooms,40,3451,2400,3013,3775
NW1,Four or More Bedrooms,20,4512,3575,4225,4767
NW10,Room,20,585,500,600,650
NW10,Studio,30,850,750,850,900
NW10,One Bedroom,70,1168,1075,1150,1250
NW10,Two Bedrooms,160,1586,1400,1600,1775
NW10,Three Bedrooms,60,1901,1675,1857,2075
NW10,Four or More Bedrooms,30,2579,2100,2492,2750
NW11,Room,0,.,.,.,.
NW11,Studio,10,1031,950,1050,1100
NW11,One Bedroom,20,1223,1120,1200,1350
NW11,Two Bedrooms,30,1581,1425,1600,1750
NW11,Three Bedrooms,10,2088,1650,1983,2375
NW11,Four or More Bedrooms,10,3357,2438,3120,3791
NW1W,Room,0,.,.,.,.
NW1W,Studio,0,.,.,.,.
NW1W,One Bedroom,0,.,.,.,.
NW1W,Two Bedrooms,0,.,.,.,.
NW1W,Three Bedrooms,0,.,.,.,.
NW1W,Four or More Bedrooms,0,.,.,.,.
NW2,Room,-,..,..,..,..
NW2,Studio,20,910,800,925,1000
NW2,One Bedroom,70,1260,1175,1250,1337
NW2,Two Bedrooms,90,1572,1450,1508,1608
NW2,Three Bedrooms,70,1948,1800,1950,2075
NW2,Four or More Bedrooms,30,2269,2000,2250,2400
NW26,Room,0,.,.,.,.
NW26,Studio,0,.,.,.,.
NW26,One Bedroom,0,.,.,.,.
NW26,Two Bedrooms,0,.,.,.,.
NW26,Three Bedrooms,0,.,.,.,.
NW26,Four or More Bedrooms,0,.,.,.,.
NW3,Room,-,..,..,..,..
NW3,Studio,80,1410,1289,1458,1523
NW3,One Bedroom,100,1713,1465,1625,1800
NW3,Two Bedrooms,140,2351,1900,2170,2600
NW3,Three Bedrooms,50,3488,2713,3171,4213
NW3,Four or More Bedrooms,10,5452,3800,4762,6717
NW4,Room,10,601,542,592,657
NW4,Studio,20,878,800,823,950
NW4,One Bedroom,30,1163,1050,1100,1230
NW4,Two Bedrooms,50,1350,1250,1350,1450
NW4,Three Bedrooms,30,1934,1700,1850,2150
NW4,Four or More Bedrooms,10,2575,2100,2550,3100
NW5,Room,-,..,..,..,..
NW5,Studio,120,962,888,950,1000
NW5,One Bedroom,150,1302,1200,1275,1350
NW5,Two Bedrooms,70,1694,1460,1600,1777
NW5,Three Bedrooms,50,2165,1850,2100,2400
NW5,Four or More Bedrooms,10,2898,1863,2675,3740
NW6,Room,-,..,..,..,..
NW6,Studio,20,1096,932,1070,1264
NW6,One Bedroom,100,1464,1300,1404,1580
NW6,Two Bedrooms,150,1875,1595,1700,2075
NW6,Three Bedrooms,50,2533,2126,2375,2775
NW6,Four or More Bedrooms,30,3184,2037,2600,3450
NW7,Room,-,..,..,..,..
NW7,Studio,10,815,800,800,825
NW7,One Bedroom,50,1165,1050,1200,1315
NW7,Two Bedrooms,150,1466,1300,1400,1560
NW7,Three Bedrooms,60,1777,1650,1800,1900
NW7,Four or More Bedrooms,30,2599,2150,2400,2800
NW8,Room,-,..,..,..,..
NW8,Studio,10,1374,1450,1450,1473
NW8,One Bedroom,20,1635,1450,1517,1750
NW8,Two Bedrooms,20,2085,1650,1997,2300
NW8,Three Bedrooms,10,2918,2800,2800,2817
NW8,Four or More Bedrooms,-,..,..,..,..
NW9,Room,-,..,..,..,..
NW9,Studio,60,946,850,950,1050
NW9,One Bedroom,180,1213,1100,1200,1300
NW9,Two Bedrooms,240,1405,1275,1430,1557
NW9,Three Bedrooms,110,1729,1625,1750,1850
NW9,Four or More Bedrooms,30,2108,1900,2100,2200
RM1,Room,0,.,.,.,.
RM1,Studio,10,746,700,725,775
RM1,One Bedroom,50,933,843,950,1000
RM1,Two Bedrooms,80,1164,1100,1150,1250
RM1,Three Bedrooms,20,1509,1400,1450,1650
RM1,Four or More Bedrooms,10,1784,1600,1850,1995
RM10,Room,10,472,367,542,542
RM10,Studio,0,.,.,.,.
RM10,One Bedroom,30,947,875,925,1000
RM10,Two Bedrooms,50,1197,1150,1200,1250
RM10,Three Bedrooms,60,1423,1400,1400,1450
RM10,Four or More Bedrooms,10,1770,1600,1650,1900
RM11,Room,0,.,.,.,.
RM11,Studio,-,..,..,..,..
RM11,One Bedroom,10,902,848,900,990
RM11,Two Bedrooms,40,1152,1050,1100,1250
RM11,Three Bedrooms,30,1445,1125,1467,1625
RM11,Four or More Bedrooms,-,..,..,..,..
RM12,Room,10,628,624,624,624
RM12,Studio,-,..,..,..,..
RM12,One Bedroom,40,928,865,900,950
RM12,Two Bedrooms,40,1162,1050,1150,1200
RM12,Three Bedrooms,90,1420,1350,1400,1525
RM12,Four or More Bedrooms,10,1853,1700,1895,2000
RM13,Room,0,.,.,.,.
RM13,Studio,-,..,..,..,..
RM13,One Bedroom,20,916,850,950,950
RM13,Two Bedrooms,30,1070,950,1100,1200
RM13,Three Bedrooms,60,1415,1300,1400,1500
RM13,Four or More Bedrooms,10,1673,1600,1618,1700
RM14,Room,0,.,.,.,.
RM14,Studio,0,.,.,.,.
RM14,One Bedroom,-,..,..,..,..
RM14,Two Bedrooms,30,1238,1100,1250,1325
RM14,Three Bedrooms,10,1608,1400,1700,1775
RM14,Four or More Bedrooms,10,2224,2100,2273,2500
RM15,Room,0,.,.,.,.
RM15,Studio,0,.,.,.,.
RM15,One Bedroom,0,.,.,.,.
RM15,Two Bedrooms,0,.,.,.,.
RM15,Three Bedrooms,0,.,.,.,.
RM15,Four or More Bedrooms,0,.,.,.,.
RM2,Room,10,529,492,536,542
RM2,Studio,-,..,..,..,..
RM2,One Bedroom,20,931,875,900,1000
RM2,Two Bedrooms,30,1212,1100,1200,1265
RM2,Three Bedrooms,10,1310,1275,1333,1400
RM2,Four or More Bedrooms,10,1804,1600,1720,2000
RM3,Room,0,.,.,.,.
RM3,Studio,-,..,..,..,..
RM3,One Bedroom,40,923,825,900,1000
RM3,Two Bedrooms,40,1195,1050,1200,1300
RM3,Three Bedrooms,50,1398,1278,1400,1500
RM3,Four or More Bedrooms,10,1884,1600,1825,2050
RM4,Room,0,.,.,.,.
RM4,Studio,0,.,.,.,.
RM4,One Bedroom,0,.,.,.,.
RM4,Two Bedrooms,-,..,..,..,..
RM4,Three Bedrooms,-,..,..,..,..
RM4,Four or More Bedrooms,-,..,..,..,..
RM5,Room,0,.,.,.,.
RM5,Studio,0,.,.,.,.
RM5,One Bedroom,10,910,900,900,950
RM5,Two Bedrooms,10,1147,1028,1188,1275
RM5,Three Bedrooms,20,1402,1350,1350,1500
RM5,Four or More Bedrooms,-,..,..,..,..
RM50,Room,0,.,.,.,.
RM50,Studio,0,.,.,.,.
RM50,One Bedroom,0,.,.,.,.
RM50,Two Bedrooms,0,.,.,.,.
RM50,Three Bedrooms,0,.,.,.,.
RM50,Four or More Bedrooms,0,.,.,.,.
RM6,Room,-,..,..,..,..
RM6,Studio,10,792,750,750,865
RM6,One Bedroom,30,931,875,900,1000
RM6,Two Bedrooms,70,1157,1100,1150,1233
RM6,Three Bedrooms,50,1456,1375,1450,1550
RM6,Four or More Bedrooms,10,1826,1700,1795,1900
RM7,Room,-,..,..,..,..
RM7,Studio,-,..,..,..,..
RM7,One Bedroom,50,991,950,1000,1050
RM7,Two Bedrooms,90,1239,1150,1250,1300
RM7,Three Bedrooms,40,1441,1340,1423,1550
RM7,Four or More Bedrooms,10,1900,1700,1800,2200
RM8,Room,0,.,.,.,.
RM8,Studio,0,.,.,.,.
RM8,One Bedroom,30,936,863,938,1000
RM8,Two Bedrooms,60,1217,1150,1250,1300
RM8,Three Bedrooms,50,1415,1300,1400,1500
RM8,Four or More Bedrooms,-,..,..,..,..
RM9,Room,0,.,.,.,.
RM9,Studio,0,.,.,.,.
RM9,One Bedroom,10,963,900,938,1025
RM9,Two Bedrooms,40,1237,1150,1200,1300
RM9,Three Bedrooms,40,1418,1363,1400,1488
RM9,Four or More Bedrooms,-,..,..,..,..
SE1,Room,-,..,..,..,..
SE1,Studio,20,1364,1140,1275,1410
SE1,One Bedroom,380,1477,1194,1440,1662
SE1,Two Bedrooms,410,1928,1495,1863,2275
SE1,Three Bedrooms,100,2494,1916,2275,2809
SE1,Four or More Bedrooms,20,3357,3100,3250,3800
SE10,Room,10,776,742,757,791
SE10,Studio,10,1037,900,1050,1250
SE10,One Bedroom,140,1407,1300,1400,1500
SE10,Two Bedrooms,180,1757,1595,1750,1900
SE10,Three Bedrooms,60,2180,1850,2200,2400
SE10,Four or More Bedrooms,20,3175,2650,3100,3600
SE11,Room,0,.,.,.,.
SE11,Studio,10,1107,1000,1100,1192
SE11,One Bedroom,70,1412,1300,1400,1500
SE11,Two Bedrooms,70,1820,1646,1800,2025
SE11,Three Bedrooms,30,2205,1842,2150,2600
SE11,Four or More Bedrooms,10,3146,2720,3200,3500
SE12,Room,-,..,..,..,..
SE12,Studio,10,720,650,750,750
SE12,One Bedroom,50,1088,1000,1050,1200
SE12,Two Bedrooms,90,1274,1200,1250,1350
SE12,Three Bedrooms,40,1603,1500,1595,1700
SE12,Four or More Bedrooms,10,2134,1875,2100,2238
SE13,Room,20,592,485,585,685
SE13,Studio,30,981,850,1000,1100
SE13,One Bedroom,160,1171,1050,1195,1275
SE13,Two Bedrooms,190,1447,1300,1425,1550
SE13,Three Bedrooms,50,1688,1500,1675,1800
SE13,Four or More Bedrooms,10,2388,2000,2239,2400
SE14,Room,-,..,..,..,..
SE14,Studio,10,850,800,850,950
SE14,One Bedroom,50,1102,1000,1088,1200
SE14,Two Bedrooms,40,1378,1250,1350,1500
SE14,Three Bedrooms,10,2023,1725,2000,2310
SE14,Four or More Bedrooms,10,2883,2600,2700,2800
SE15,Room,0,.,.,.,.
SE15,Studio,20,991,930,975,1080
SE15,One Bedroom,130,1256,1150,1250,1350
SE15,Two Bedrooms,150,1609,1450,1598,1700
SE15,Three Bedrooms,70,2178,1950,2220,2400
SE15,Four or More Bedrooms,40,3049,2650,2850,3450
SE16,Room,10,694,677,692,725
SE16,Studio,20,1308,1000,1423,1525
SE16,One Bedroom,250,1453,1250,1400,1700
SE16,Two Bedrooms,360,1835,1500,1800,2100
SE16,Three Bedrooms,90,2377,2100,2403,2675
SE16,Four or More Bedrooms,20,3057,2539,2909,3598
SE17,Room,0,.,.,.,.
SE17,Studio,10,893,888,950,1112
SE17,One Bedroom,30,1327,1200,1325,1450
SE17,Two Bedrooms,50,1613,1450,1647,1750
SE17,Three Bedrooms,40,1960,1750,2000,2000
SE17,Four or More Bedrooms,20,2519,2100,2500,2700
SE18,Room,10,492,450,502,550
SE18,Studio,10,1014,975,1062,1100
SE18,One Bedroom,150,1143,1000,1128,1250
SE18,Two Bedrooms,260,1365,1250,1350,1450
SE18,Three Bedrooms,90,1597,1350,1550,1775
SE18,Four or More Bedrooms,20,1904,1800,1925,2000
SE19,Room,0,.,.,.,.
SE19,Studio,10,850,800,800,850
SE19,One Bedroom,70,1117,1050,1148,1250
SE19,Two Bedrooms,120,1429,1300,1400,1550
SE19,Three Bedrooms,30,1685,1400,1600,1950
SE19,Four or More Bedrooms,10,2132,1800,2100,2400
SE1P,Room,0,.,.,.,.
SE1P,Studio,0,.,.,.,.
SE1P,One Bedroom,0,.,.,.,.
SE1P,Two Bedrooms,0,.,.,.,.
SE1P,Three Bedrooms,0,.,.,.,.
SE1P,Four or More Bedrooms,0,.,.,.,.
SE2,Room,-,..,..,..,..
SE2,Studio,-,..,..,..,..
SE2,One Bedroom,20,912,790,898,950
SE2,Two Bedrooms,40,1136,1000,1195,1250
SE2,Three Bedrooms,60,1265,1150,1250,1400
SE2,Four or More Bedrooms,30,1429,1255,1321,1600
SE20,Room,-,..,..,..,..
SE20,Studio,10,867,790,890,900
SE20,One Bedroom,80,1035,935,1000,1100
SE20,Two Bedrooms,60,1275,1163,1300,1388
SE20,Three Bedrooms,20,1761,1500,1637,1825
SE20,Four or More Bedrooms,-,..,..,..,..
SE21,Room,0,.,.,.,.
SE21,Studio,-,..,..,..,..
SE21,One Bedroom,40,1286,1150,1300,1400
SE21,Two Bedrooms,150,1431,1150,1400,1700
SE21,Three Bedrooms,40,2181,1875,2125,2425
SE21,Four or More Bedrooms,30,4007,2850,3875,4500
SE22,Room,-,..,..,..,..
SE22,Studio,20,1090,1058,1100,1165
SE22,One Bedroom,100,1320,1200,1325,1400
SE22,Two Bedrooms,140,1702,1550,1690,1850
SE22,Three Bedrooms,60,2237,1900,2150,2474
SE22,Four or More Bedrooms,20,3069,2690,2918,3250
SE23,Room,-,..,..,..,..
SE23,Studio,20,803,750,800,873
SE23,One Bedroom,50,1088,1000,1100,1200
SE23,Two Bedrooms,70,1423,1300,1400,1550
SE23,Three Bedrooms,30,1905,1625,1800,2000
SE23,Four or More Bedrooms,20,2425,1700,1925,2650
SE24,Room,0,.,.,.,.
SE24,Studio,-,..,..,..,..
SE24,One Bedroom,50,1339,1200,1350,1450
SE24,Two Bedrooms,60,1630,1500,1650,1760
SE24,Three Bedrooms,40,2268,1900,2300,2550
SE24,Four or More Bedrooms,20,3520,3400,3600,3725
SE25,Room,-,..,..,..,..
SE25,Studio,10,784,775,785,800
SE25,One Bedroom,50,1021,950,975,1100
SE25,Two Bedrooms,60,1183,1100,1175,1250
SE25,Three Bedrooms,20,1541,1350,1595,1750
SE25,Four or More Bedrooms,10,1864,1700,1800,2150
SE26,Room,0,.,.,.,.
